user_id,name,parent_name,fraud_score,spam_score,sim_id,id_used,sim_status,activation_date,sim_fraud_score,cdr_timestamp,duration,call_type,current_location,agent_id,agent_fraud_score,cdr_id
15,User_15,Parent_52,0.01157923,0.857106115,29,Driving License,Inactive,27/09/24,0.022989688,04/12/24 11:24,79,SMS,Kerala,196,0.292973853,29
15,User_15,Parent_52,0.01157923,0.857106115,30,Voter Card,Inactive,03/08/24,0.027567099,22/12/24 11:24,253,outbound,Uttar Pradesh,196,0.292973853,30
16,User_16,Parent_26,0.168821912,0.248206269,31,Voter Card,Inactive,26/04/24,0.023860273,25/12/24 11:24,63,outbound,Nagaland,355,0.256380647,31
17,User_17,Parent_26,0.008831241,0.621451264,32,Aadhaar Card,Inactive,11/07/24,0.050494275,30/11/24 11:24,32,outbound,Uttarakhand,188,0.039205256,32
17,User_17,Parent_26,0.008831241,0.621451264,33,Voter Card,Inactive,16/05/24,0.049855404,26/11/24 11:24,189,outbound,Bihar,188,0.039205256,33
17,User_17,Parent_26,0.008831241,0.621451264,34,Driving License,Inactive,26/06/24,0.044580789,19/12/24 11:24,183,inbound,Punjab,188,0.039205256,34
18,User_18,Parent_80,0.110717647,0.867785343,35,Aadhaar Card,Active,10/06/24,0.087293236,26/12/24 11:24,68,inbound,Manipur,207,0.12162748,35
18,User_18,Parent_80,0.110717647,0.867785343,36,Driving License,Active,26/10/24,0.087338835,19/11/24 11:24,179,inbound,Chhattisgarh,207,0.12162748,36
18,User_18,Parent_80,0.110717647,0.867785343,37,Driving License,Inactive,15/01/25,0.060253308,18/01/25 11:24,280,outbound,Gujarat,207,0.12162748,37
19,User_19,Parent_22,0.169172022,0.030614099,38,Driving License,Inactive,12/05/24,0.059464856,04/12/24 11:24,195,inbound,Chhattisgarh,164,0.15859727,38
19,User_19,Parent_22,0.169172022,0.030614099,39,Aadhaar Card,Inactive,25/12/24,0.099406049,22/01/25 11:24,178,inbound,Himachal Pradesh,164,0.15859727,39
19,User_19,Parent_22,0.169172022,0.030614099,40,Aadhaar Card,Active,21/10/24,0.013785545,19/01/25 11:24,93,inbound,Bihar,164,0.15859727,40
20,User_20,Parent_78,0.106646523,0.835470316,41,Driving License,Active,07/11/24,0.093120397,24/11/24 11:24,260,inbound,Meghalaya,265,0.29521341,41
20,User_20,Parent_78,0.106646523,0.835470316,42,Aadhaar Card,Inactive,09/10/24,0.070636247,14/02/25 11:24,275,outbound,Manipur,265,0.29521341,42
20,User_20,Parent_78,0.106646523,0.835470316,43,Driving License,Active,06/07/24,0.067393573,31/12/24 11:24,141,SMS,Telangana,265,0.29521341,43
21,User_21,Parent_85,0.081648844,0.94239378,44,Driving License,Inactive,15/08/24,0.029680824,01/01/25 11:24,146,SMS,Mizoram,291,0.132325336,44
21,User_21,Parent_85,0.081648844,0.94239378,45,Voter Card,Active,26/01/25,0.010597039,27/11/24 11:24,98,outbound,Arunachal Pradesh,291,0.132325336,45
21,User_21,Parent_85,0.081648844,0.94239378,46,Voter Card,Inactive,07/09/24,0.030053623,13/01/25 11:24,103,inbound,Andhra Pradesh,291,0.132325336,46
22,User_22,Parent_69,0.067642548,0.366372382,47,Aadhaar Card,Inactive,02/06/24,0.098080343,02/02/25 11:24,167,SMS,Nagaland,352,0.203155376,47
22,User_22,Parent_69,0.067642548,0.366372382,48,Voter Card,Inactive,15/09/24,0.039542144,12/12/24 11:24,103,outbound,Himachal Pradesh,352,0.203155376,48
22,User_22,Parent_69,0.067642548,0.366372382,49,Driving License,Inactive,02/07/24,0.083582251,08/02/25 11:24,127,inbound,Tamil Nadu,352,0.203155376,49
23,User_23,Parent_70,0.072929519,0.310450509,50,Driving License,Inactive,02/09/24,0.037310619,21/12/24 11:24,288,SMS,Andhra Pradesh,394,0.022783618,50
23,User_23,Parent_70,0.072929519,0.310450509,51,Aadhaar Card,Active,04/04/24,0.098154348,25/01/25 11:24,151,outbound,Tripura,394,0.022783618,51
24,User_24,Parent_56,0.021154084,0.190585842,52,Aadhaar Card,Inactive,18/11/24,0.028616016,04/01/25 11:24,233,outbound,Jharkhand,390,0.032575499,52
24,User_24,Parent_56,0.021154084,0.190585842,53,Driving License,Inactive,30/03/24,0.017403109,11/02/25 11:24,36,SMS,Chhattisgarh,390,0.032575499,53
24,User_24,Parent_56,0.021154084,0.190585842,54,Aadhaar Card,Active,05/10/24,0.046100064,01/01/25 11:24,259,SMS,Telangana,390,0.032575499,54
25,User_25,Parent_31,0.182911948,0.903282136,55,Driving License,Inactive,08/11/24,0.049531069,07/02/25 11:24,295,outbound,Kerala,11,0.243272334,55
25,User_25,Parent_31,0.182911948,0.903282136,56,Driving License,Active,04/12/24,0.012733145,29/12/24 11:24,201,outbound,West Bengal,11,0.243272334,56
26,User_26,Parent_81,0.085022913,0.775127699,57,Driving License,Active,10/12/24,0.067307132,23/01/25 11:24,250,inbound,Haryana,259,0.18830296,57
26,User_26,Parent_81,0.085022913,0.775127699,58,Aadhaar Card,Inactive,04/05/24,0.003236473,12/01/25 11:24,229,outbound,Assam,259,0.18830296,58
27,User_27,Parent_61,0.103795534,0.936154727,59,Driving License,Inactive,23/10/24,0.061535226,24/01/25 11:24,196,SMS,Manipur,198,0.102445827,59
28,User_28,Parent_60,0.036543416,0.153067406,60,Aadhaar Card,Inactive,08/11/24,0.060940349,24/01/25 11:24,122,SMS,Jharkhand,112,0.138448523,60
28,User_28,Parent_60,0.036543416,0.153067406,61,Voter Card,Inactive,17/05/24,0.040540848,20/01/25 11:24,121,outbound,Tamil Nadu,112,0.138448523,61
28,User_28,Parent_60,0.036543416,0.153067406,62,Voter Card,Active,10/12/24,0.037194224,29/11/24 11:24,130,SMS,Kerala,112,0.138448523,62
29,User_29,Parent_42,0.165614801,0.668619597,63,Aadhaar Card,Active,27/01/25,0.07682394,03/01/25 11:24,54,inbound,Maharashtra,223,0.189683461,63
29,User_29,Parent_42,0.165614801,0.668619597,64,Aadhaar Card,Inactive,01/12/24,0.016725946,07/12/24 11:24,188,SMS,Himachal Pradesh,223,0.189683461,64
29,User_29,Parent_42,0.165614801,0.668619597,65,Aadhaar Card,Inactive,03/01/25,0.044330671,17/12/24 11:24,265,SMS,Bihar,223,0.189683461,65
30,User_30,Parent_14,0.138250775,0.740908033,66,Voter Card,Active,03/04/24,0.042852169,28/11/24 11:24,79,inbound,Himachal Pradesh,349,0.067461394,66
31,User_31,Parent_69,0.172736558,0.812205774,67,Voter Card,Active,27/06/24,0.093051084,13/12/24 11:24,33,inbound,Tripura,87,0.094005692,67
31,User_31,Parent_69,0.172736558,0.812205774,68,Driving License,Inactive,23/09/24,0.013659146,21/11/24 11:24,194,SMS,Uttar Pradesh,87,0.094005692,68
31,User_31,Parent_69,0.172736558,0.812205774,69,Driving License,Inactive,06/03/24,0.032915935,10/12/24 11:24,213,SMS,Chhattisgarh,87,0.094005692,69
32,User_32,Parent_28,0.100284913,0.464487054,70,Voter Card,Active,15/08/24,0.044807506,20/01/25 11:24,244,SMS,Uttar Pradesh,302,0.098327429,70
32,User_32,Parent_28,0.100284913,0.464487054,71,Voter Card,Inactive,27/11/24,0.041510229,07/01/25 11:24,14,inbound,Meghalaya,302,0.098327429,71
33,User_33,Parent_8,0.022900589,0.717443597,72,Voter Card,Inactive,24/04/24,0.078549796,08/02/25 11:24,138,inbound,Manipur,294,0.145390113,72
33,User_33,Parent_8,0.022900589,0.717443597,73,Voter Card,Active,24/04/24,0.011478547,08/12/24 11:24,124,SMS,Himachal Pradesh,294,0.145390113,73
34,User_34,Parent_94,0.177594089,0.823911368,74,Voter Card,Inactive,16/03/24,0.088691869,19/01/25 11:24,180,inbound,Assam,209,0.149837153,74
34,User_34,Parent_94,0.177594089,0.823911368,75,Aadhaar Card,Active,12/12/24,0.083382196,01/02/25 11:24,262,SMS,Gujarat,209,0.149837153,75
34,User_34,Parent_94,0.177594089,0.823911368,76,Aadhaar Card,Inactive,14/04/24,0.059037716,12/02/25 11:24,205,inbound,Manipur,209,0.149837153,76
35,User_35,Parent_2,0.027641177,0.676804685,77,Driving License,Active,23/10/24,0.038439097,14/01/25 11:24,22,outbound,Meghalaya,433,0.060666517,77
36,User_36,Parent_20,0.071195971,0.342248413,78,Driving License,Active,27/04/24,0.029387719,21/11/24 11:24,284,inbound,Nagaland,308,0.235395189,78
36,User_36,Parent_20,0.071195971,0.342248413,79,Voter Card,Active,03/07/24,0.030361657,03/12/24 11:24,252,outbound,Karnataka,308,0.235395189,79
37,User_37,Parent_53,0.148996901,0.362720492,80,Driving License,Inactive,31/03/24,0.092024679,10/01/25 11:24,247,SMS,Maharashtra,231,0.209761754,80
37,User_37,Parent_53,0.148996901,0.362720492,81,Aadhaar Card,Active,17/09/24,0.080129108,16/01/25 11:24,157,inbound,Karnataka,231,0.209761754,81
37,User_37,Parent_53,0.148996901,0.362720492,82,Voter Card,Active,25/10/24,0.004860962,12/12/24 11:24,55,inbound,Kerala,231,0.209761754,82
38,User_38,Parent_93,0.121990151,0.342916858,83,Voter Card,Inactive,13/11/24,0.063252121,18/11/24 11:24,286,inbound,Rajasthan,88,0.285049953,83
39,User_39,Parent_33,0.032618355,0.361374471,84,Voter Card,Inactive,16/11/24,0.074726228,11/12/24 11:24,244,SMS,Uttar Pradesh,285,0.201427933,84
39,User_39,Parent_33,0.032618355,0.361374471,85,Driving License,Active,04/11/24,0.067699066,06/12/24 11:24,291,outbound,Tripura,285,0.201427933,85
39,User_39,Parent_33,0.032618355,0.361374471,86,Aadhaar Card,Active,14/04/24,0.024040283,01/01/25 11:24,156,outbound,Karnataka,285,0.201427933,86
40,User_40,Parent_32,0.133111896,0.635454407,87,Driving License,Inactive,16/11/24,0.07458118,30/11/24 11:24,78,outbound,Gujarat,228,0.260832811,87
40,User_40,Parent_32,0.133111896,0.635454407,88,Aadhaar Card,Inactive,13/08/24,0.051707025,31/12/24 11:24,241,outbound,Nagaland,228,0.260832811,88
40,User_40,Parent_32,0.133111896,0.635454407,89,Driving License,Active,16/04/24,0.075871204,13/02/25 11:24,136,inbound,Haryana,228,0.260832811,89
41,User_41,Parent_43,0.039966824,0.297444814,90,Aadhaar Card,Active,19/10/24,0.064994819,28/01/25 11:24,56,outbound,Andhra Pradesh,175,0.235484381,90
41,User_41,Parent_43,0.039966824,0.297444814,91,Voter Card,Inactive,13/09/24,0.062124933,15/01/25 11:24,165,inbound,Kerala,175,0.235484381,91
41,User_41,Parent_43,0.039966824,0.297444814,92,Aadhaar Card,Inactive,01/03/24,0.071400757,04/01/25 11:24,96,outbound,Mizoram,175,0.235484381,92
42,User_42,Parent_27,0.087390207,0.183213972,93,Driving License,Inactive,10/09/24,0.084809079,21/01/25 11:24,34,outbound,Assam,463,0.1543709,93
42,User_42,Parent_27,0.087390207,0.183213972,94,Driving License,Active,26/02/24,0.031556676,17/12/24 11:24,125,inbound,Himachal Pradesh,463,0.1543709,94
43,User_43,Parent_71,0.102453175,0.648853608,95,Driving License,Active,15/10/24,0.093794832,22/12/24 11:24,37,SMS,Kerala,219,0.02762873,95
43,User_43,Parent_71,0.102453175,0.648853608,96,Aadhaar Card,Active,03/08/24,0.089806452,13/12/24 11:24,175,outbound,West Bengal,219,0.02762873,96
43,User_43,Parent_71,0.102453175,0.648853608,97,Driving License,Active,26/10/24,0.016935837,07/02/25 11:24,83,SMS,Sikkim,219,0.02762873,97
44,User_44,Parent_2,0.011173498,0.71108738,98,Driving License,Active,03/12/24,0.055828499,12/12/24 11:24,120,SMS,Meghalaya,31,0.008670818,98
44,User_44,Parent_2,0.011173498,0.71108738,99,Driving License,Inactive,07/07/24,0.099093369,20/12/24 11:24,108,inbound,Uttar Pradesh,31,0.008670818,99
45,User_45,Parent_86,0.187516604,0.516466274,100,Voter Card,Active,16/02/25,0.069424537,15/02/25 11:24,215,outbound,Jharkhand,412,0.078393848,100
46,User_46,Parent_73,0.04112192,0.597880166,101,Driving License,Active,02/11/24,0.058663062,27/11/24 11:24,120,outbound,Odisha,49,0.008996572,101
46,User_46,Parent_73,0.04112192,0.597880166,102,Voter Card,Inactive,23/02/24,0.051535194,31/01/25 11:24,186,outbound,Haryana,49,0.008996572,102
46,User_46,Parent_73,0.04112192,0.597880166,103,Driving License,Inactive,21/08/24,0.027041567,19/12/24 11:24,131,SMS,Nagaland,49,0.008996572,103
47,User_47,Parent_84,0.014059473,0.125642527,104,Voter Card,Inactive,08/02/25,0.063623571,29/01/25 11:24,130,SMS,Karnataka,373,0.103727825,104
48,User_48,Parent_89,0.190163428,0.745217095,105,Driving License,Active,03/02/25,0.007271404,02/01/25 11:24,160,inbound,Maharashtra,7,0.013904037,105
48,User_48,Parent_89,0.190163428,0.745217095,106,Voter Card,Inactive,25/05/24,0.084542355,29/01/25 11:24,212,SMS,Odisha,7,0.013904037,106
49,User_49,Parent_70,0.195702915,0.362061949,107,Voter Card,Inactive,30/06/24,0.059904404,15/01/25 11:24,264,outbound,Manipur,132,0.148005137,107
49,User_49,Parent_70,0.195702915,0.362061949,108,Driving License,Inactive,18/08/24,0.08856816,19/01/25 11:24,295,SMS,Nagaland,132,0.148005137,108
49,User_49,Parent_70,0.195702915,0.362061949,109,Voter Card,Active,01/04/24,0.077984112,11/12/24 11:24,80,inbound,Madhya Pradesh,132,0.148005137,109
50,User_50,Parent_57,0.005455244,0.029161727,110,Driving License,Inactive,19/04/24,0.003760217,09/01/25 11:24,190,inbound,Kerala,198,0.102445827,110
50,User_50,Parent_57,0.005455244,0.029161727,111,Aadhaar Card,Active,03/01/25,0.000524105,13/01/25 11:24,231,SMS,Tripura,198,0.102445827,111
50,User_50,Parent_57,0.005455244,0.029161727,112,Voter Card,Active,06/10/24,0.097809504,23/12/24 11:24,246,outbound,Tripura,198,0.102445827,112
51,User_51,Parent_94,0.069709863,0.806433649,113,Voter Card,Inactive,08/12/24,0.005127228,21/01/25 11:24,125,SMS,Arunachal Pradesh,401,0.1242883,113
52,User_52,Parent_70,0.092629317,0.005842086,114,Driving License,Active,26/11/24,0.017168731,10/01/25 11:24,284,inbound,Rajasthan,262,0.253138334,114
52,User_52,Parent_70,0.092629317,0.005842086,115,Voter Card,Active,07/10/24,0.04402243,17/12/24 11:24,24,inbound,Telangana,262,0.253138334,115
53,User_53,Parent_75,0.041116381,0.830465244,116,Voter Card,Inactive,10/02/25,0.006420217,29/11/24 11:24,206,outbound,Haryana,304,0.094055473,116
53,User_53,Parent_75,0.041116381,0.830465244,117,Driving License,Active,12/03/24,0.030630586,19/12/24 11:24,32,SMS,Arunachal Pradesh,304,0.094055473,117
54,User_54,Parent_7,0.094864407,0.150493518,118,Voter Card,Active,26/10/24,0.065205207,21/11/24 11:24,235,inbound,Chhattisgarh,306,0.232602839,118
54,User_54,Parent_7,0.094864407,0.150493518,119,Voter Card,Inactive,17/01/25,0.011472909,13/02/25 11:24,189,inbound,Uttar Pradesh,306,0.232602839,119
54,User_54,Parent_7,0.094864407,0.150493518,120,Aadhaar Card,Inactive,04/01/25,0.090921912,01/02/25 11:24,136,outbound,Tripura,306,0.232602839,120
55,User_55,Parent_43,0.061026995,0.553465706,121,Driving License,Inactive,12/06/24,0.093559523,25/11/24 11:24,48,outbound,Uttarakhand,406,0.139201223,121
56,User_56,Parent_71,0.165513884,0.441233747,122,Aadhaar Card,Active,17/04/24,0.077151309,11/12/24 11:24,32,outbound,Haryana,160,0.085583664,122
56,User_56,Parent_71,0.165513884,0.441233747,123,Aadhaar Card,Inactive,20/03/24,0.00639667,12/02/25 11:24,213,inbound,Goa,160,0.085583664,123
56,User_56,Parent_71,0.165513884,0.441233747,124,Driving License,Active,14/09/24,0.093027787,17/12/24 11:24,32,SMS,Odisha,160,0.085583664,124
57,User_57,Parent_35,0.050740723,0.583436373,125,Voter Card,Inactive,25/07/24,0.018038014,12/02/25 11:24,286,SMS,Andhra Pradesh,384,0.044002644,125
58,User_58,Parent_60,0.071111324,0.984566739,126,Aadhaar Card,Inactive,18/05/24,0.037845922,22/01/25 11:24,41,SMS,Maharashtra,180,0.122422317,126
58,User_58,Parent_60,0.071111324,0.984566739,127,Aadhaar Card,Inactive,25/08/24,0.021140376,10/12/24 11:24,257,outbound,Madhya Pradesh,180,0.122422317,127
58,User_58,Parent_60,0.071111324,0.984566739,128,Aadhaar Card,Active,29/02/24,0.015496574,04/01/25 11:24,122,inbound,Punjab,180,0.122422317,128
59,User_59,Parent_49,0.058705878,0.906541314,129,Voter Card,Inactive,27/04/24,0.011726628,18/12/24 11:24,240,outbound,Maharashtra,66,0.150945067,129
59,User_59,Parent_49,0.058705878,0.906541314,130,Aadhaar Card,Inactive,08/06/24,0.029149938,30/11/24 11:24,169,outbound,Uttarakhand,66,0.150945067,130
60,User_60,Parent_56,0.0568779,0.517784691,131,Aadhaar Card,Active,26/05/24,0.099023216,14/12/24 11:24,139,inbound,Andhra Pradesh,494,0.019887625,131
60,User_60,Parent_56,0.0568779,0.517784691,132,Voter Card,Inactive,10/04/24,0.096478417,28/11/24 11:24,199,SMS,Telangana,494,0.019887625,132
60,User_60,Parent_56,0.0568779,0.517784691,133,Voter Card,Inactive,18/07/24,0.096198884,14/02/25 11:24,284,outbound,Tripura,494,0.019887625,133
61,User_61,Parent_42,0.108652445,0.114602756,134,Aadhaar Card,Inactive,26/05/24,0.011798359,03/01/25 11:24,92,outbound,Haryana,226,0.065528332,134
62,User_62,Parent_50,0.085380589,0.705770747,135,Driving License,Active,26/11/24,0.027498094,13/12/24 11:24,205,SMS,West Bengal,208,0.178345417,135
63,User_63,Parent_89,0.025749132,0.183164494,136,Voter Card,Active,13/07/24,0.075470934,05/12/24 11:24,181,SMS,Tripura,482,0.292161549,136
63,User_63,Parent_89,0.025749132,0.183164494,137,Driving License,Inactive,29/05/24,0.038902994,23/01/25 11:24,39,SMS,Punjab,482,0.292161549,137
64,User_64,Parent_31,0.052548865,0.764570127,138,Driving License,Active,07/08/24,0.052372435,27/01/25 11:24,131,SMS,Odisha,206,0.002035894,138
64,User_64,Parent_31,0.052548865,0.764570127,139,Aadhaar Card,Inactive,19/07/24,0.078936585,03/01/25 11:24,213,SMS,Jharkhand,206,0.002035894,139
65,User_65,Parent_62,0.123174647,0.939213599,140,Voter Card,Active,16/11/24,0.04997371,04/01/25 11:24,139,outbound,Uttar Pradesh,84,0.10424957,140
65,User_65,Parent_62,0.123174647,0.939213599,141,Driving License,Inactive,11/01/25,0.095109514,10/02/25 11:24,233,SMS,Telangana,84,0.10424957,141
65,User_65,Parent_62,0.123174647,0.939213599,142,Driving License,Inactive,03/02/25,0.08354798,26/11/24 11:24,203,outbound,Tamil Nadu,84,0.10424957,142
66,User_66,Parent_58,0.052905451,0.615560429,143,Voter Card,Active,06/05/24,0.045904791,17/01/25 11:24,106,inbound,Rajasthan,193,0.015465771,143
66,User_66,Parent_58,0.052905451,0.615560429,144,Driving License,Inactive,12/05/24,0.048706157,22/01/25 11:24,207,inbound,Madhya Pradesh,193,0.015465771,144
66,User_66,Parent_58,0.052905451,0.615560429,145,Driving License,Inactive,02/11/24,0.027519009,02/02/25 11:24,287,outbound,Punjab,193,0.015465771,145
67,User_67,Parent_27,0.0263095,0.847502621,146,Aadhaar Card,Inactive,26/12/24,0.062926892,03/12/24 11:24,56,outbound,Tamil Nadu,15,0.243820188,146
67,User_67,Parent_27,0.0263095,0.847502621,147,Aadhaar Card,Active,25/02/24,0.047704527,25/12/24 11:24,215,SMS,Odisha,15,0.243820188,147
67,User_67,Parent_27,0.0263095,0.847502621,148,Aadhaar Card,Inactive,13/05/24,0.050825945,25/12/24 11:24,263,inbound,Uttar Pradesh,15,0.243820188,148
68,User_68,Parent_11,0.098318488,0.481964956,149,Driving License,Inactive,20/09/24,0.066526892,10/02/25 11:24,268,outbound,Madhya Pradesh,391,0.181392692,149
68,User_68,Parent_11,0.098318488,0.481964956,150,Voter Card,Inactive,03/03/24,0.00557545,16/01/25 11:24,278,SMS,Rajasthan,391,0.181392692,150
68,User_68,Parent_11,0.098318488,0.481964956,151,Voter Card,Active,24/07/24,0.043123743,27/11/24 11:24,257,inbound,Sikkim,391,0.181392692,151
69,User_69,Parent_12,0.044862835,0.496837861,152,Aadhaar Card,Inactive,08/03/24,0.046696806,15/01/25 11:24,96,SMS,Tripura,279,0.113485319,152
69,User_69,Parent_12,0.044862835,0.496837861,153,Voter Card,Inactive,06/02/25,0.065775485,30/12/24 11:24,241,inbound,Mizoram,279,0.113485319,153
69,User_69,Parent_12,0.044862835,0.496837861,154,Driving License,Active,10/09/24,0.0308376,22/01/25 11:24,293,SMS,Manipur,279,0.113485319,154
70,User_70,Parent_88,0.116538475,0.471033949,155,Voter Card,Active,23/09/24,0.039942308,09/12/24 11:24,112,inbound,Tamil Nadu,143,0.172804779,155
71,User_71,Parent_58,0.103938901,0.007067214,156,Driving License,Active,02/12/24,0.028604989,05/12/24 11:24,144,inbound,Arunachal Pradesh,190,0.227538832,156
71,User_71,Parent_58,0.103938901,0.007067214,157,Aadhaar Card,Inactive,07/10/24,0.064824056,24/01/25 11:24,41,outbound,Jharkhand,190,0.227538832,157
72,User_72,Parent_61,0.040574314,0.101442311,158,Driving License,Inactive,06/09/24,0.078869029,05/01/25 11:24,36,inbound,Punjab,413,0.045359691,158
72,User_72,Parent_61,0.040574314,0.101442311,159,Voter Card,Active,12/06/24,0.097862528,05/12/24 11:24,91,inbound,Odisha,413,0.045359691,159
72,User_72,Parent_61,0.040574314,0.101442311,160,Driving License,Inactive,12/03/24,0.095269271,24/01/25 11:24,300,inbound,Tripura,413,0.045359691,160
73,User_73,Parent_100,0.064862265,0.613837617,161,Voter Card,Active,29/02/24,0.095670058,19/11/24 11:24,119,inbound,Tripura,235,0.051987148,161
74,User_74,Parent_63,0.054950404,0.87025204,162,Driving License,Active,27/08/24,0.031169896,04/02/25 11:24,40,outbound,Andhra Pradesh,484,0.26911205,162
74,User_74,Parent_63,0.054950404,0.87025204,163,Aadhaar Card,Active,01/04/24,0.004135313,09/02/25 11:24,290,SMS,Maharashtra,484,0.26911205,163
75,User_75,Parent_18,0.114783976,0.722973995,164,Driving License,Inactive,01/12/24,0.049309847,07/01/25 11:24,100,outbound,Assam,108,0.188462306,164
75,User_75,Parent_18,0.114783976,0.722973995,165,Driving License,Inactive,24/01/25,0.010273884,20/01/25 11:24,104,SMS,Haryana,108,0.188462306,165
76,User_76,Parent_75,0.16007076,0.11250677,166,Voter Card,Inactive,07/08/24,0.089644929,16/01/25 11:24,211,outbound,Mizoram,99,0.272547482,166
77,User_77,Parent_81,0.148583997,0.03273803,167,Driving License,Active,16/06/24,0.027885509,28/12/24 11:24,274,outbound,Gujarat,84,0.10424957,167
77,User_77,Parent_81,0.148583997,0.03273803,168,Driving License,Active,11/01/25,0.066258818,18/11/24 11:24,92,SMS,Uttarakhand,84,0.10424957,168
78,User_78,Parent_13,0.119059499,0.49389167,169,Driving License,Inactive,07/10/24,0.041123049,08/12/24 11:24,12,SMS,Tripura,177,0.044082518,169
